A101	Naaguja	-28.135541101863	114.76447121893
A102	Pindiini	-29.465956641058	127.76626114849
A103	Wangkatja	-29.865930280067	122.69871203435
A11	Waljen	-29.231153995635	122.72297452583
A12	Wangkatha	-29.778252421771	121.91807270657
A13	Widi	-28.826757573399	116.72152699866
A14	Badimaya	-28.593308271869	117.18532487362
A16	Kuwarra	-28.182031703639	120.34536446621
A17	Nangadadjara / Nyanganyatjara	-28.683701655968	124.80344633862
A1	Nyaki Nyaki / Njaki Njaki	-32.390945191928	118.75508272649
A20	Wilyara	-26.799611608385	120.41568813065
A21	Gula	-27.99046024825	122.70200834255
A22	Marawa	-28.771514280889	125.34638789354
A24	Gurduwanga	-25.668816450276	117.54738262512
A26	Djalgandi	-27.645728155089	122.97306203614
A27	Mudalga	-27.752210323925	123.65487413983
A28	Bunggura	-27.28614140549	130.46337106064
A29	Wawula	-25.010140467373	121.11964519461
A2	Kalarku	-32.110217754506	121.4875755408
A30	Ngadawanga	-26.401740132949	119.57970476761
A31	Tjupan	-27.117955474616	120.56642240741
A32	Nakako	-27.222842765728	128.51091416846
A33	Mantjintjarra	-27.253857884926	126.08461682425
A34	Mangu	-25.579879925586	119.7750310866
A37	Nanadjara	-26.064065288865	123.48763939134
A38	Ngaanyatjarra	-25.80043240336	127.35345751349
A39	Wajarri / Wadjarri	-26.100230390262	116.99308252226
A3	Ngadjumaya / Ngadju	-32.324664323174	123.74119550948
A43	Ngaatjatjarra	-25.081125185629	128.54199255349
A48	Ngarla	-23.799711855686	117.60738836527
A49	Wirdinya	-23.83364083433	120.4708263347
A4	Kalaamaya	-30.263691528344	119.0129787698
A50	Nyiyaparli	-22.92418557863	120.19647245046
A51.1	Manyjilyjarra	-22.573761734635	124.90624556636
A51	Kartujarra	-23.282962677149	122.06253619927
A52	Kiyajarra	-23.510384152199	125.95265960129
A53	BANYJIMA	-22.743132667405	118.37300319665
A54	Putijarra	-26.558929055443	120.90839716643
A55	Palyku	-22.239089157585	120.16083978695
A56	Dargudi	-23.069376057345	121.04572349304
A58	Nyamal	-21.220189379259	120.02940899496
A59	Ibarga	-21.241791200905	122.3086586102
A5	Nungara	-30.288736633741	120.59501258947
A60	Widagari	-21.327989524911	120.63936664165
A61	NYANGUMARTA	-20.479420766843	122.02895891035
A62	Warnman	-22.234788799669	123.05241114393
A64	Karajarri	-18.817369678434	122.32262142986
A65	Mangala	-19.639949066406	123.96774721505
A66	Walmajarri	-19.467373171132	126.15125175949
A67	Yulparija	-21.183997145606	124.954501252
A68	Kukatja	-20.489447500567	127.02387041488
A69	Bunara	-20.709303855673	129.04645622792
A6	Maduwongga 	-23.350911655789	123.66842240336
A71	Nhugarn	-25.804998816598	115.47622416926
A72	Ngurlipartu	-21.243272358287	122.32849994657
A73	Walyirli	-20.058513211385	121.89624093275
A74	Frazer Range	-32.175364004514	123.47446545531
A75	Bundjuwanga	-21.087596240294	119.39719913486
A76	Pantikura	-22.557802405153	118.50425378261
A77	Mijaranypa	-22.999689368036	118.14527522302
A78	Ju&#039;una	-22.000762956078	119.45541305778
A79	Yinhawangka / Innawonga	-24.455778426304	119.07826408524
A7	Tjeraridjal	-30.431851084109	123.78318179256
A80	WESTERN DESERT LANGUAGE	-26.337337816815	127.10810714062
A82	Wirdjaragandja	-26.304879382631	131.91107607403
A83	Njangadjadjara	-30.682160310788	131.49211605735
A85	Kurajarra	-22.909591398018	122.3629167104
A87	Wangkajunga	-20.576465858871	126.50323359633
A88	Juwaliny	-20.643729665896	124.69879716783
A89	Pililuna	-19.666746356789	127.60046628947
A8	Murunitja	-30.302385789976	126.03071747822
A91	Nyardi	-18.622991623929	125.27550390484
A92	Tjapanmay	-30.963892724362	117.05411072932
A93	Nhanhagardi	-29.217596810821	115.27495917689
A94	Witjaari	-31.7559692038	116.21005237003
A95	Natingero	-29.373824151559	118.3669992509
A96	Mandara	-23.364436323926	119.2811246941
A97	Cheangwa language	-27.49908684106	116.4015534839
A99	Norseman	-32.241502021711	121.76261435935
A9	Mirning	-31.29303041962	128.15349327077
C10	Pintupi	-23.370096838363	127.58170309929
C12	Antekerrepenhe	-22.753908140735	137.62060389685
C13	Kaytetye	-21.019874087248	134.06950250849
C14	Alyawarr	-21.94837099764	135.53444633563
C15.1	Wakirti Warlpiri	-20.672093316621	133.09452880691
C15	WARLPIRI	-20.433595605496	131.05240928361
C16	Wakaya	-20.152907594635	136.16914722059
C17	Warlmanpa	-19.249626535773	132.87100726782
C18	Warumungu	-19.602712664845	134.50518184842
C19	Wambaya	-18.173055306326	135.43105010266
C1	Wirangu	-31.535987723207	133.5220740691
C20	GURINDJI	-17.462112816687	129.80759844339
C22	Jingulu	-17.350765267549	133.70151286316
C23	Gunindirri	-17.669227805119	136.84465216971
C25	MUDBURRA	-17.440310056236	131.90962270153
C26	Gudanji	-16.980617001904	135.25565304117
C27	NGARINYMAN	-16.590380084618	130.25517727725
C28	Akarre	-22.842506668901	135.36299175014
C29	Lower Arrernte	-25.954571909387	135.39280716542
C2	Ngalia	-29.198371544364	129.48003328708
C30	Eastern Gurindji	-17.748534509445	130.40590135075
C31	Eastern Mudburra	-17.557472822989	131.99551773648
C32	Eastern Ngarinyman	-16.556038457011	130.5117546111
C33	Karranga	-16.214558371984	131.36063023452
C34	Kartangarurru	-19.250305030825	130.48072536645
C35	Kuwarranyji	-16.720940346925	132.33656219346
C36	Western Mudburra	-16.767364036194	131.45455491844
C37	Wurlayi	-16.341585810998	129.64782407529
C38	Ngardilypa	-19.623475796516	129.73559852572
